ID,TEMA,LOCAL,TEMPO,CATEGORIA,STATUS,DESCRICAO,URL,ANO,MES,DIA,DIA_DO_ANO,SEMANA_DO_ANO,DIA_DA_SEMANA,TRIMETRES,CASOS,Empresa,Mes,ESTADO
149495285,Liberação de Procedimento ,Fortaleza - CE,2022-01-09,Planos de saúde<->Planos de Saúde<->Hapvida Saúde<->Dificuldade para agendamento de exames-consultas,Respondida,Paguei fatura do plano em atraso e tal atraso é devido a imensa burocracia de mudança de dia de vencimento. Necessito liberação para autorizar e realizar consulta do meu filho que é autista e necessita de (terapia ocupacional e outras consultas e o plano pede pra aguardar 72h apos pagamento?? Difícil dessa forma.,https://www.reclameaqui.com.br//hapvida-saude/liberacao-de-procedimento_VC35XyUcYRrzoOKK/,2022,1,9,9,1,6,1,66,Hapvida,Jan,CE
149516741,Negligência na emergência Luiz de França ,Fortaleza - CE,2022-01-09,Planos de saúde<->Qualidade do serviço prestado<->Não encontrei meu problema<->Hapvida Saúde,Não respondida,"Vim com meu filho doente, tinha vomitado desmaiado e estava mole querendo dormir direto, e simplesmente,  demorou 2 horas para começar a tomar a medicação, médica passou uma tc e faltou descrever alguma coisa técnica, qua do fui apresentar o papel, voltei para a médica e ela já tinha saído e ninguém, simplesmente ninguém poderia reescrever a quia do médico. Muitas crianças pouco funcionários, me arrependir chorei de raiva, estava preucupa com meu filho e ele era negligenciado. ",https://www.reclameaqui.com.br//hapvida-saude/negligencia-na-emergencia-luiz-de-franca__ueqYz9yh6QMYpM8/,2022,1,9,9,1,6,1,66,Hapvida,Jan,CE
149514407,Rede Credenciada Inexistente II,Fortaleza - CE,2022-01-09,"Demora para autorização de consultas, exames e cirurgias<->Planos de Saúde<->Rede de Atendimento<->Hapvida Saúde",Respondida,"Sofro com dor na coluna desde 01/07/2022. Com muita reclamação consegui um ortopedista na rede credenciada após inúmeras idas na emergência onde passavam remédio pra dor e me mandavam buscar consulta eletiva.Após exames e retorno o prognóstico é q a dor não irá passar. Só possível controlá-la. Para isso se faz necessário: acupuntura, fisioterapia motora e cirurgião de coluna (neurocirurgião?). A saga para conseguir tudo isso começa aqui, Sac, ouvidoria pq o plano, como sempre, não tem uma rede credenciada pq não paga o mínimo q os profissionais pedem e ainda inibem sua atuação exigindo que passem menos exames. Assim dizem todos eles.Hoje na rede CREDENCIADA, segundo o manual online q eles próprios divulgam tem:ZERO NEUROCIRURGIÃOZERO ACUPUNTURISTAZERO FISIOTERAPEUTA MOTORMAS A MINHA DOR PERMANECE FIEL, DIFERENTE DO PLANO.",https://www.reclameaqui.com.br//hapvida-saude/rede-credenciada-inexistente-ii_dWSH5GkrGv07OGa5/,2022,1,9,9,1,6,1,66,Hapvida,Jan,CE
149512895,Descaso com o paciente ,Aquiraz - CE,2022-01-09,Exames Lab e imagens<->Hapvida Saúde<->Exames Lab. e imagem<->Dificuldade para agendamento de exames-consultas,Não respondida,"Minha esposa é dependente do meu plano de saúde no hapiva (categoria pleno). Em uma consulta de rotina o médico que a acompanha desde que ela fez uma cirurgia de tireoide identificou dois novos nódulos e solicitou através da guia de exame a punção guiada por ultrassom dos nódulos. A primeira grande burocracia começou para conseguir autorizar o exame, inicialmente ela tentou a liberação pelo aplicativo, conforme orientação. porém como não obteve sucesso foi necessário entrar em contato com a ouvidoria, foram diversas ligações sem sucesso, em algumas vezes as chamadas caiam depois de um longo tempo de espera. Seguem alguns dos protocolos, infelizmente nem todos foram anotados (36825320320823107660, 36825321220823114170). Finalmente após conseguir autorizar, ela foi realizar os exames. Após finalizar a coleta foi informada que o material coletado deveria ser entregue no laboratório parceiro (clementino fraga), ao chegar no laboratório (ás 16:00) eles se recusaram a receber as amostras, pois disseram que não recebiam aquele tipo de exame vindo do hapvida. foi necessário ligar novamente pro hapvida  para verificar a autorização (protocolo 36825320220901775350), a atendente afirmou novamente que os exames estavam autorizados para o clementino fraga. Após essa informação ela ligou para a central do clementino fraga, onde a atendente afirmou que os exames eram aceitos no laboratório, e após conversar com a atendente que estava de plantão fisicamente a mesma afirmou novamente que não era autorizado o procedimento junto ao hapvida, pois o sistema não liberava. Como não houve consenso entre o Hapvida e o clementino fraga ela teve que pagar o exame do próprio bolso.Além da questão financeira, o tempo perdido e o desgaste gerado foi bastante constrangedor para a paciente, que mesmo após realizar uma punção teve que levar pessoalmente a amostra até o laboratório e por fim não conseguir ser atendida com o recurso do plano. A central do hapvida sempre tem um atendimento muito ruim e bastante burocrático, não é a primeira vez que é repassada uma informação ERRADA! Além disso não há sincronismo entre o hapvida e seus parceiros.",https://www.reclameaqui.com.br//hapvida-saude/descaso-com-o-paciente_a-a4NlgtCGtZ_eV4/,2022,1,9,9,1,6,1,66,Hapvida,Jan,CE
149506365,Reembolso,Fortaleza - CE,2022-01-09,Plano<->Planos de Saúde<->Hapvida Saúde<->Reembolso de consulta-exame,Não respondida,"Venho aqui reclamar novamente, sobre um pedido de reembolso q quero fazer. Depois da reclamação aqui já me ligaram 3 vezes, dizem q preciso mandar os documentos, pra um email, quando pergunto o e-mail, dizem q vão me passar pro setor responsável q vai ligar novamente. E não resolve nada. Agr entrei em contato pelo chat, me falaram q tem q ir presencialmente.Queria deixar de ser feita de palhaça e ter informações corretas.",https://www.reclameaqui.com.br//hapvida-saude/reembolso_muZUXogeK46N0Or2/,2022,1,9,9,1,6,1,66,Hapvida,Jan,CE
149502001,Quarta vez que eu venho reclamar aqui e nada foi resolvido.,Fortaleza - CE,2022-01-09,Planos de saúde<->Planos de Saúde<->Hapvida Saúde<->Dificuldade para agendamento de exames-consultas,Não respondida,"Mais uma vez venho reclamar aqui e vou reclamar até meu problema ser resolvido, Maryanna Matias Machado autista de 5 anos faz acompanhamento no grupo TEA da pereira Filgueiras,de 17 as 19 horas.Porem eu quero mudar esse horário pra mais cedo. Podendo ser o horário das 13 hs ou das 15:00 hs.Pq no horário dela não está sendo mais possível pra mim levar ela .Como eu já falei nas milhares de reclamação,as terapeuta delas estão livre no horário das 15 horas ,e porque não botam ela pra esse horário,sendo que elas ficam apenas fofocando juntas nesse horário.Eu quero mudar de horário..Aí vem me responder no privado o mesmo horário que já é me poupe!!!",https://www.reclameaqui.com.br//hapvida-saude/quarta-vez-que-eu-venho-reclamar-aqui-e-nada-foi-resolvido_nFDKs9UpkSz9wN7j/,2022,1,9,9,1,6,1,66,Hapvida,Jan,CE
149479457,Meu DIU está fora do lugar e o Hapvida não me ajuda,Fortaleza - CE,2022-01-09,Planos de saúde<->Planos de Saúde<->Hapvida Saúde<->Dificuldade para agendamento de exames-consultas,Respondida,"Passei mais de um mês tentando marcar uma consulta com a Dra Luana Ayala, porém a agenda nunca estava disponível, então abri um SAC com protocolo 601118670 onde escrevi que precisava que ela reposicionasse meu DIU, após muita espera consegui uma consulta apenas para ouvir dela que ela não faz mais esse procedimento, me pedindo para marcar uma nova consulta com outro ginecologista sem nem ao menos saber me informar qual médico da rede faz isso, dado que nem todos os ginecologistas fazem histeroscopia.Preciso realocar esse DIU com urgência através da histeroscopia, dado que ele está mais 50% fora do lugar e já é a 2 que isso acontece.",https://www.reclameaqui.com.br//hapvida-saude/meu-diu-esta-fora-do-lugar-e-o-hapvida-nao-me-ajuda_iHMEJMPmNkBVf-cM/,2022,1,9,9,1,6,1,66,Hapvida,Jan,CE
149469287,CONSULTAS,Fortaleza - CE,2022-01-09,Planos de saúde<->Planos de Saúde<->Hapvida Saúde<->Dificuldade para agendamento de exames-consultas,Em réplica,"Nunca consigo marcar consulta nesta empresa. Estou preciso marcar o retorno da minha filha para o NEUROPEDIATRA, ela só pode aos sábados pois estuda na semana e nunca tem!!! ",https://www.reclameaqui.com.br//hapvida-saude/consultas_RkeHebfHSBEj7-rG/,2022,1,9,9,1,6,1,66,Hapvida,Jan,CE
149472047,Hapvida Medicina Preventivo Maracanaú ,Pacatuba - CE,2022-01-09,Problemas com o Atendimento<->Equipe de Atendimento<->Mau Atendimento<->Hapvida Saúde,Respondida,"Quero deixar minha indignação aqui pelo atendimento do Hapvida Medicina Preventivo Maracanaú. Hoje dia 01/09/2022 estava com a primeira consulta marcada para psicóloga, estava marcado para às sete e meia, e eu cheguei às sete em ponto e passei pela recepção e disseram para eu aguardar que me chamariam, e eu fiquei aguardando até às Oito horas e nada, foi quando fui até a recepção, e perguntei que horas a doutora iria começar atender, foi quando o rapaz perguntou se eu já havia passado pela recepção e eu informei que sim, quando ele perguntou que horas eu havia chegado eu disse o horário e ele simplesmente ficou sem entender porque a doutora não havia me chamado, sendo que ela estava na sala sem fazer nada. Ele ficou tão surpreso que disse que iria mandar mensagem para avisar a ela. Agora eu queria entender como é que esse povo não fica sabendo que tem paciente lá esperando a mais de uma hora e eles não fazem nada, será culpa do sistema ou das pessoas trabalham lá e não estão preparados para exercer aquela função? Eu nunca presenciei tanta falta de responsabilidade e compromisso como ali naquele ambiente, o local totalmente apertado e desconfortável, muita gente em pé, crianças chorando e gritando, acredito que esse local deveria passar por uma reforma, pois se faz necessário fazer um melhor atendimento para os pacientes, não é fácil para nós pacientes chegarmos até ali, por isso que deve ser um ambiente calmo, tranquilo e acolhedor. Espero que esse texto sirva para mudarem aquele ambiente, não só a estrutura mais também algumas pessoas que não são resilientes e capacitados para estarem naquele local.",https://www.reclameaqui.com.br//hapvida-saude/hapvida-medicina-preventivo-maracanau_-wqttjzYEXexJjgS/,2022,1,9,9,1,6,1,66,Hapvida,Jan,CE
149549507,HAPVIDA CANCELOU MEU PLANO,Pacajus - CE,2022-02-09,Planos de saúde<->Qualidade do serviço prestado<->Planos de Saúde<->Hapvida Saúde,Não respondida,"Dia 01/06/2022 fui até o RH do Hapvida para transferir meu plano empresa, para o plano individual (tenho 2 dependentes ) idade de 2 anos . Dia 01/07/20222 meu plano foi ativado como plano individual . Ultilizei normalmente o plano até a a data de 31/08/2022, quando foi dia 01/09/2022 precisei ir a emergência pediátrica do Hapvida e la recebi a informação de que meu plano havia sido cancelado , fiquei constrangida e e desesperada pois estava com meus dois filhos de 2 anos com febre e precisando de atendimento na emergência pediátrica . Voltei para casa com meus dois filhos com febre e fui ligar para o Hapvida para saber o qual foi o motivo do cancelamento do meu plano pois o Hapvida cancelou meu plano, e não autorizei o cancelamento , não entraram em contato comigo nenhum momento  para informar que estariam cancelando meu plano simplesmente cancelaram e não fui comunicada. Liguei no SAC liguei na ouvidoria do Hapvida não souberam me responder o por que que meu plano estava cancelado , pediram para aguardar 7 dias para me darem retorno. Não posso ser penalizada com 2 crianças de idade de 2 anos que estão necessitando de atendimento de emergência o prazo de 7dias.Não me deram nenhum explicação , nem solução para o problema . Um erro interno do Hapvida , pois cancelaram meu plano é não me pediram autorização .A ouvidoria não resolveu e também não tratou com emergência minha solicitação .Estarei entrando com um processo contra o Hapvida , por constrangimento e negativa de atendimento de emergência para 2 crianças com idade de 2 anos . Isso é um absurdo está falando de saúde , estão tratando pessoas como robôs , sem nenhuma decência .Existem assuntos que devem ser tratados em caráter de URGÊNCIA e o Hapvida está trancado seus clientes com extrema neglicencia, imprudência e incompetência . Volto a falar eu e minha família não podemos ser penalizados por um ERRO interno do Hapvida . Quero meu plano ativo novamente até hoje, caso não ativem meu plano novamente estarei entrando com uma medida judicial . Não possuo nenhum débito junto ao havida , nunca ficou atrasado nenhuma mensalidade , agora volto a repetir nao posso ser penalizada por erro cometido internamente dos funcionários da empresa Hapvida .",https://www.reclameaqui.com.br//hapvida-saude/hapvida-cancelou-meu-plano_BpYqACLz-72I0nIr/,2022,2,9,40,6,2,1,49,Hapvida,Feb,CE
